Year,Region,Region Code,Livestock type,Value,Value Unit,Value Label,Null Reason
2005,Bay of Plenty,Bay of Plenty Region,Beef cattle,1439266.271,number,Kilograms of nitrogen leached,
2006,Bay of Plenty,Bay of Plenty Region,Beef cattle,1560033.177,number,Kilograms of nitrogen leached,
2007,Bay of Plenty,Bay of Plenty Region,Beef cattle,1590693.173,number,Kilograms of nitrogen leached,
2008,Bay of Plenty,Bay of Plenty Region,Beef cattle,1364050.979,number,Kilograms of nitrogen leached,
2009,Bay of Plenty,Bay of Plenty Region,Beef cattle,1455167.491,number,Kilograms of nitrogen leached,
2010,Bay of Plenty,Bay of Plenty Region,Beef cattle,1100465.35,number,Kilograms of nitrogen leached,
2011,Bay of Plenty,Bay of Plenty Region,Beef cattle,1113125.218,number,Kilograms of nitrogen leached,
2012,Bay of Plenty,Bay of Plenty Region,Beef cattle,1240175.564,number,Kilograms of nitrogen leached,
2013,Bay of Plenty,Bay of Plenty Region,Beef cattle,1235220.547,number,Kilograms of nitrogen leached,
2014,Bay of Plenty,Bay of Plenty Region,Beef cattle,1166129.283,number,Kilograms of nitrogen leached,
2015,Bay of Plenty,Bay of Plenty Region,Beef cattle,1205782.7,number,Kilograms of nitrogen leached,
2016,Bay of Plenty,Bay of Plenty Region,Beef cattle,1229893.572,number,Kilograms of nitrogen leached,
2017,Bay of Plenty,Bay of Plenty Region,Beef cattle,1391536.044,number,Kilograms of nitrogen leached,
1990,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7967136.059,number,Kilograms of nitrogen leached,
1991,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7972894.127,number,Kilograms of nitrogen leached,
1992,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7989955.942,number,Kilograms of nitrogen leached,
1993,Bay of Plenty,Bay of Plenty Region,Dairy cattle,6324033.715,number,Kilograms of nitrogen leached,
1994,Bay of Plenty,Bay of Plenty Region,Dairy cattle,6743357.908,number,Kilograms of nitrogen leached,
1995,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7236640.231,number,Kilograms of nitrogen leached,
1996,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7519328.311,number,Kilograms of nitrogen leached,
1997,Bay of Plenty,Bay of Plenty Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1998,Bay of Plenty,Bay of Plenty Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1999,Bay of Plenty,Bay of Plenty Region,Dairy cattle,8171146.282,number,Kilograms of nitrogen leached,
2000,Bay of Plenty,Bay of Plenty Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2001,Bay of Plenty,Bay of Plenty Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2002,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7820824.506,number,Kilograms of nitrogen leached,
2003,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7714040.67,number,Kilograms of nitrogen leached,
2004,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7573345.593,number,Kilograms of nitrogen leached,
2005,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7782264.332,number,Kilograms of nitrogen leached,
2006,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7091603.004,number,Kilograms of nitrogen leached,
2007,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7056299.442,number,Kilograms of nitrogen leached,
2008,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7437889.413,number,Kilograms of nitrogen leached,
2009,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7072417.311,number,Kilograms of nitrogen leached,
2010,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7242044.319,number,Kilograms of nitrogen leached,
2011,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7823797.934,number,Kilograms of nitrogen leached,
2012,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7370468.105,number,Kilograms of nitrogen leached,
2013,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7425995.699,number,Kilograms of nitrogen leached,
2014,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7867195.829,number,Kilograms of nitrogen leached,
2015,Bay of Plenty,Bay of Plenty Region,Dairy cattle,8425633.99,number,Kilograms of nitrogen leached,
2016,Bay of Plenty,Bay of Plenty Region,Dairy cattle,8003949.934,number,Kilograms of nitrogen leached,
2017,Bay of Plenty,Bay of Plenty Region,Dairy cattle,7673687,number,Kilograms of nitrogen leached,
1990,Bay of Plenty,Bay of Plenty Region,Deer,346939.2071,number,Kilograms of nitrogen leached,
