Region,Region Code,Year,Measure,Age,Value,Value Unit,Value Label,Null Reason
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,5-9,28791,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,10-14,30711,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,15-19,28824,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,20-24,25020,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,25-29,21804,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,30-34,24315,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,35-39,27324,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,40-44,28371,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,45-49,27210,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,50-54,23730,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,55-59,22170,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,60-64,17556,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,65-*,47505,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,Total people,380823,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,0-4,29496,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,5-9,29043,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,10-14,28944,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,15-19,28488,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,20-24,26859,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,25-29,23544,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,30-34,22869,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,35-39,24201,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,40-44,27924,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,45-49,27510,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,50-54,27978,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,55-59,24852,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,60-64,22356,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,65-*,59574,number,Number of people,
Waikato,Waikato Region,2013,Age in five-year groups for the census usually resident population count,Total people,403638,number,Number of people,
Waikato,Waikato Region,2001,Age in broad groups for the census usually resident population count,*-14,86679,number,Number of people,
